action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV,post_k0,post_k1,post_k2
enter,enter,,,entered_cell,0,1,1,312.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,0,0,1,,0.0,0,,0.0,312.0,308.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.2985, 0.2985, 0.1045, 0.2985]","[0.5, 0.5, 0.2, 0.5]","[0.0, 0.0, 0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,0,0,1,308.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,1,0,2,,0.0,0,,0.0,308.0,304.0,-0.2,0.16666666666666663,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,1,0,2,304.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,2,1,2,,0.0,0,,0.0,304.0,300.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,2,1,2,300.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,3,0,2,,0.0,0,,0.0,300.0,296.0,-0.2,0.16666666666666663,,False,True,0.0,neutral,None,,,,,,,"[0.2994, 0.7006]","[0.5, 0.5]","[0.0, 0.567]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,3,0,2,296.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,4,0,1,,0.0,0,,0.0,296.0,292.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,4,0,1,292.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,5,0,0,,0.0,0,,0.0,292.0,288.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,5,0,0,288.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,6,0,1,,0.0,0,,0.0,288.0,284.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.2592, 0.7408]","[0.2, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,6,0,1,284.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,7,0,2,,0.0,0,,0.0,284.0,280.0,-0.2,0.16666666666666663,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,7,0,2,280.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,8,0,1,,0.0,0,,0.0,280.0,276.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,8,0,1,276.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,9,0,0,,0.0,0,,0.0,276.0,272.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
